index	Fgra_Original_VCF_ID	Final_SNPversity ID	SNPversity_Population Strcture_SplitsTree	SNPversity_Species	Host Crop;Variety	Chemotype	Country
81	45708mAP	45708	Unknown	Fusarium graminearum	Triticum aestivum	15	Russia
82	45712mAP	45712	Unknown	Fusarium graminearum	Hordeum vulgare	3	Russia
83	45716mAP	45716	Unknown	Fusarium graminearum	Hordeum vulgare	3	Russia
84	45735mAP	45735	Unknown	Fusarium graminearum	Hordeum vulgare	3	Russia
85	45737mAP	45737	NA2	Fusarium graminearum	Triticum aestivum	15	Russia
86	45740mAP	45740	NA2	Fusarium graminearum	Triticum aestivum	3	Russia
87	45741mAP	45741	NA1	Fusarium graminearum	Triticum aestivum	15	Russia
88	45744mAP	45744	NA2	Fusarium graminearum	Triticum aestivum	15	Russia
89	45745mAP	45745	Unknown	Fusarium graminearum	Hordeum vulgare	3	Russia
90	45746mAP	45746	Unknown	Fusarium graminearum	Hordeum vulgare	3	Russia
91	45747mAP	45747	Unknown	Fusarium graminearum	Triticum aestivum	3	Russia
92	45780mAP	45780	NA2	Fusarium graminearum	Triticum aestivum	3	Russia
93	45787mAP	45787	NA2	Fusarium graminearum	Hordeum vulgare	15	Russia
94	45815mAP	45815	NA2	Fusarium graminearum	Triticum aestivum	3	Russia
95	45827mAP	45827	NA2	Fusarium graminearum	Triticum aestivum	15	Russia
96	45834mAP	45834	NA2	Fusarium graminearum	Triticum aestivum	3	Russia
97	45835mAP	45835	NA2	Fusarium graminearum	Triticum aestivum	3	Russia
98	45836mAP	45836	NA2	Fusarium graminearum	Triticum aestivum	15	Russia
99	45838mAP	45838	NA2	Fusarium graminearum	Triticum aestivum	15	Russia
100	45839mAP	45839	NA2	Fusarium graminearum	Triticum aestivum	15	Russia
101	46240mAP	46240	Unknown	Fusarium graminearum	Hordeum vulgare	15	Australia
102	46250mAP	46250	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
103	46259mAP	46259	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
104	46267mAP	46267	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
105	46273mAP	46273	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
106	46275mAP	46275	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
107	46284mAP	46284	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
108	46287mAP	46287	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
109	46289mAP	46289	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
110	46290mAP	46290	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
111	46294mAP	46294	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
112	46297mAP	46297	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
113	46305mAP	46305	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
114	46317mAP	46317	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
115	46329mAP	46329	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
116	46336mAP	46336	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
117	46354mAP	46354	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
118	46363mAP	46363	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
119	46370mAP	46370	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
120	46371mAP	46371	Unknown	Fusarium graminearum	Triticum aestivum	15	Australia
121	46380mAP	46380	NA2	Fusarium graminearum	Triticum aestivum	3	Italy
122	46386mAP	46386	NA2	Fusarium graminearum	Mespilus germanica	15	Italy
123	46422mAP	46422	NA2	Fusarium graminearum	Triticum aestivum	3	USA
124	46434mAP	46434	NA2	Fusarium graminearum	Triticum aestivum	3	USA
125	46522mAP	46522	Unknown	Fusarium graminearum	Triticum aestivum	3	Japan
126	46525mAP	46525	Unknown	Fusarium graminearum	Triticum aestivum	3	Japan
127	46532mAP	46532	NA2	Fusarium graminearum	Hordeum vulgare	3	Japan
128	46533mAP	46533	Unknown	Fusarium graminearum	Triticum aestivum	3	Japan
129	46539mAP	46539	Unknown	Fusarium graminearum	Triticum aestivum	15	Japan
130	46544mAP	46544	NA2	Fusarium graminearum	Triticum aestivum	3	Japan
131	46547mAP	46547	NA2	Fusarium graminearum	Triticum aestivum	15	Japan
132	46548mAP	46548	NA2	Fusarium graminearum	Triticum aestivum	3	Japan
133	46549mAP	46549	Unknown	Fusarium graminearum	Triticum aestivum	15	Japan
134	46558mAP	46558	NA2	Fusarium graminearum	Triticum aestivum	15	Japan
135	46559mAP	46559	Unknown	Fusarium graminearum	Triticum aestivum	3	Japan
136	46560mAP	46560	NA2	Fusarium graminearum	Triticum aestivum	3	Japan
137	46564mAP	46564	NA2	Fusarium graminearum	Triticum aestivum	15	Japan
138	46566mAP	46566	Admixture	Fusarium graminearum	Triticum aestivum	15	Japan
139	46874mAP	46874	NA1	Fusarium graminearum	Zea mays	15	China
140	46875mAP	46875	NA1	Fusarium graminearum	Zea mays	15	China
141	46898mAP	46898	NA1	Fusarium graminearum	Zea mays	15	China
142	46899mAP	46899	NA1	Fusarium graminearum	Zea mays	15	China
143	46914mAP	46914	NA1	Fusarium graminearum	Zea mays	15	China
144	46915mAP	46915	NA1	Fusarium graminearum	Zea mays	15	China
145	46934mAP	46934	NA1	Fusarium graminearum	Zea mays	15	China
146	46935mAP	46935	NA1	Fusarium graminearum	Zea mays	15	China
147	46959mAP	46959	NA1	Fusarium graminearum	Zea mays	15	China
148	46960mAP	46960	Admixture	Fusarium graminearum	Zea mays	15	China
149	46986mAP	46986	NA1	Fusarium graminearum	Zea mays	15	China
150	46987mAP	46987	NA1	Fusarium graminearum	Zea mays	15	China
151	47526mAP	47526	NA2	Fusarium graminearum	Triticum aestivum	15	Argentina
152	47527mAP	47527	NA2	Fusarium graminearum	Triticum aestivum	15	Argentina
153	47554mAP	47554	NA2	Fusarium graminearum	Triticum aestivum	15	Argentina
154	47555mAP	47555	NA2	Fusarium graminearum	Triticum aestivum	15	Argentina
155	47556mAP	47556	NA2	Fusarium graminearum	Triticum aestivum	15	Argentina
156	47571mAP	47571	NA1	Fusarium graminearum	Triticum aestivum	15	Canada
157	47588mAP	47588	NA2	Fusarium graminearum	Triticum aestivum	3	Canada
158	47605mAP	47605	Admixture	Fusarium graminearum	Triticum aestivum	NX2	Canada
159	47659mAP	47659	NA3	Fusarium graminearum	Triticum aestivum	NX2	Canada
160	52005mAP	52005	NA1	Fusarium graminearum	Triticum aestivum	15	Canada
161	52008mAP	52008	NA2	Fusarium graminearum	Triticum aestivum	3	Canada
162	52129mAP	52129	NA1	Fusarium graminearum	Triticum aestivum	15	Canada
163	52195mAP	52195	NA2	Fusarium graminearum	Triticum aestivum	3	Canada
164	52429mAP	52429	NA2	Fusarium graminearum	Triticum aestivum	3	Canada
165	52512mAP	52512	NA1	Fusarium graminearum	Triticum aestivum	15	Canada
166	52840mAP	52840	NA1	Fusarium graminearum	Triticum aestivum	15	Canada
167	52847mAP	52847	NA2	Fusarium graminearum	Triticum aestivum	3	Canada
168	52850mAP	52850	NA1	Fusarium graminearum	Triticum aestivum	15	Canada
169	52955mAP	52955	NA1	Fusarium graminearum	Triticum aestivum	15	Canada
170	53046mAP	53046	NA2	Fusarium graminearum	Triticum aestivum	3	Canada
171	53173mAP	53173	Admixture	Fusarium graminearum	Triticum aestivum	NX2	Canada
172	53184mAP	53184	Unknown	Fusarium graminearum	Triticum aestivum	3	Canada
173	54196mAP	54196	Outgroups	Fusarium louisianense	Triticum aestivum	NIV	USA
174	54197mAP	54197	Outgroups	Fusarium louisianense	Triticum aestivum	NIV	USA
175	62913mAP	62913	NA2	Fusarium graminearum	Hordeum vulgare	15	France
176	62929mAP	62929	NA1	Fusarium graminearum	Zea mays	NIV	France
177	66030mAP	66030	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
178	66031mAP	66031	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
179	66037mAP	66037	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
180	66039mAP	66039	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
181	66040mAP	66040	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
182	66041mAP	66041	Admixture	Fusarium graminearum	Triticum aestivum	NX2	USA
183	66042mAP	66042	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
184	66043mAP	66043	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
185	66045mAP	66045	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
186	66047mAP	66047	NA3	Fusarium graminearum	Triticum aestivum	NX2	USA
187	66049mAP	66049	Admixture	Fusarium graminearum	Triticum aestivum	NX2	USA
188	ETH-001-barcode10mAP	ET-2022-15-1 	Outgroups	Fusarium  boothii			Ethiopia
189	ETH-001-barcode11mAP	ET-2022-49-1 	Outgroups	Fusarium  aethiopicum			Ethiopia
190	ETH-001-barcode12mAP	ET-2022-52-1 	Outgroups	Fusarium graminearum			Ethiopia
