index	Fgra_Original_VCF_ID	Final_SNPversity ID	SNPversity_Population Strcture_SplitsTree	SNPversity_Species	Host Crop;Variety	Chemotype	Country
332	FHK86mAP	FHK86	NA1	Fusarium graminearum		15	USA
333	FHK87mAP	FHK87	NA1	Fusarium graminearum		15	USA
334	FHK89mAP	FHK89	Admixture	Fusarium graminearum	Triticum aestivum	15	USA
335	FHK8mAP	FHK8	NA1	Fusarium graminearum	Triticum aestivum	15	USA
336	FHK90mAP	FHK90	NA1	Fusarium graminearum	Triticum aestivum	15	USA
337	FHK92mAP	FHK92	Admixture	Fusarium graminearum	Triticum aestivum	15	USA
338	FHK93mAP	FHK93	Admixture	Fusarium graminearum	Triticum aestivum	15	USA
339	FHK94mAP	FHK94	Admixture	Fusarium graminearum	Triticum aestivum	15	USA
340	FHK95mAP	FHK95	Admixture	Fusarium graminearum	Triticum aestivum	15	USA
341	FHK96mAP	FHK96	Admixture	Fusarium graminearum	Triticum aestivum	15	USA
342	FHK97mAP	FHK97	NA2	Fusarium graminearum	Triticum aestivum	15	USA
343	FHK9mAP	FHK9	NA1	Fusarium graminearum	Triticum aestivum	15	USA
344	FRA12mAP	FRA12	NA2	Fusarium graminearum	Triticum aestivum	15	France
345	FRA180mAP	FRA180	NA1	Fusarium graminearum	Zea mays	15	France
346	FRA200mAP	FRA200	NA1	Fusarium graminearum	Zea mays	15	France
347	FRA21mAP	FRA21	NA2	Fusarium graminearum	Triticum aestivum	15	France
348	FRA305mAP	FRA305	NA2	Fusarium graminearum	Zea mays	15	France
349	FRA31mAP	FRA31	NA2	Fusarium graminearum	Triticum aestivum	NIV	France
350	FRA65mAP	FRA65	NA2	Fusarium graminearum	Hordeum vulgare	15	France
351	Fg1mAP	FHK88 	NA1	Fusarium graminearum	Triticum aestivum	15	USA
352	MTD41mAP	ET-2022-41	Outgroups	Fusarium  boothii	Triticum durum Desf;Utuba		Ethiopia
353	MTD66mAP	ET-2022-30-1	Outgroups	Fusarium  boothii	Triticum durum Desf;Utuba		Ethiopia
354	MTD69mAP	ET-2022-33-1	NA2	Fusarium graminearum	Triticum durum Desf;Utuba		Ethiopia
355	MTD71mAP	ET-2022-34-1	Outgroups	Fusarium  boothii 	Triticum aestivum L.;Kekeba 		Ethiopia
356	MTD72mAP	ET-2022-35-1	Outgroups	Fusarium  boothii 	Triticum durum Desf;Malefia		Ethiopia
357	MTD80mAP	ET-2022-49-1	Outgroups	Fusarium  aethiopicum	Triticum aestivum L.;Biftu		Ethiopia
358	MTD83mAP	ET-2022-52-1	Outgroups	Fusarium  kistleri	Triticum aestivum L.;Kekeba 		Ethiopia
359	MTD84mAP	ET-2022-53-1	Outgroups	Fusarium  aethiopicum	Triticum aestivum L.;Wane		Ethiopia
360	PH-1ERR11748137mAP	PH-1ERR11748137	NA1	Fusarium graminearum	Zea mays	15	USA
361	SAMN02585717mAP	SAMN02585717	Unknown	Fusarium graminearum	Triticum aestivum		"	Australia"
362	SAMN02981337mAP	SAMN02981337	Removed from SplitsTree	Fusarium  pseudograminearum
363	SAMN14604992mAP	SAMN14604992	Admixture	Fusarium graminearum	Malus domestica 	15	Serbia
364	SAMN16774461mAP	SAMN16774461	Unknown	Fusarium graminearum		3	USA
365	SAMN16774462mAP	SAMN16774462	NA1	Fusarium graminearum	Miscanthus giganteus	15	USA
366	SAMN16774464mAP	SAMN16774464	NA2	Fusarium graminearum	Hordeum vulgare	15	Argentina
367	SAMN16774466mAP	SAMN16774466	NA2	Fusarium graminearum	Hordeum vulgare	15	Argentina
368	SAMN16774467mAP	SAMN16774467	Outgroups	Fusarium graminearum	Hordeum vulgare	15	Argentina
369	SAMN16774468mAP	SAMN16774468	NA2	Fusarium graminearum	Triticum aestivum	15	France
370	SAMN16774469mAP	SAMN16774469	NA2	Fusarium graminearum	Triticum aestivum	15	France
371	SAMN16774470mAP	SAMN16774470	NA2	Fusarium graminearum	Triticum aestivum	15	France
372	SAMN16774471mAP	SAMN16774471	NA2	Fusarium graminearum	Triticum aestivum	15	France
373	SAMN16774472mAP	SAMN16774472	NA2	Fusarium graminearum	Triticum aestivum	15	France
374	SAMN16774473mAP	SAMN16774473	NA2	Fusarium graminearum	Triticum aestivum	15	France
375	SAMN16774474mAP	SAMN16774474	NA2	Fusarium graminearum	Triticum aestivum	15	France
376	SAMN16774475mAP	SAMN16774475	NA2	Fusarium graminearum	Triticum aestivum	15	France
377	SAMN16774476mAP	SAMN16774476	NA2	Fusarium graminearum	Triticum aestivum	15	Belgium
378	SAMN16774477mAP	SAMN16774477	NA2	Fusarium graminearum	Triticum aestivum	15	Netherlands
379	SAMN16774478mAP	SAMN16774478	NA2	Fusarium graminearum	Triticum aestivum	15	Netherlands
380	SAMN16774479mAP	SAMN16774479	Unknown	Fusarium graminearum	Triticum aestivum	3	Netherlands
381	SAMN16774480mAP	SAMN16774480	NA2	Fusarium graminearum	Triticum aestivum	15	Netherlands
382	SAMN16774481mAP	SAMN16774481	NA2	Fusarium graminearum	Triticum aestivum	15	Netherlands
383	SAMN16774482mAP	SAMN16774482	NA2	Fusarium graminearum	Triticum aestivum	15	Netherlands
384	SAMN16774483mAP	SAMN16774483	NA2	Fusarium graminearum	Triticum aestivum	15	Netherlands
385	SAMN16774484mAP	SAMN16774484	NA2	Fusarium graminearum	Triticum aestivum	15	Netherlands
386	SAMN16774485mAP	SAMN16774485	NA2	Fusarium graminearum	Triticum aestivum	15	Luxembourg
387	SAMN16774486mAP	SAMN16774486	NA2	Fusarium graminearum	Triticum aestivum	15	Luxembourg
388	SAMN16774487mAP	SAMN16774487	NA2	Fusarium graminearum	Triticum aestivum	15	Luxembourg
389	SAMN16774488mAP	SAMN16774488	NA2	Fusarium graminearum	Triticum aestivum	15	Luxembourg
390	SAMN16774489mAP	SAMN16774489	NA2	Fusarium graminearum	Triticum aestivum	15	Luxembourg
391	SAMN16774490mAP	SAMN16774490	NA2	Fusarium graminearum	Triticum aestivum	15	Luxembourg
392	SAMN16774491mAP	SAMN16774491	NA2	Fusarium graminearum	Triticum aestivum	15	Luxembourg
393	SAMN16774492mAP	SAMN16774492	NA2	Fusarium graminearum	Triticum aestivum	15	Luxembourg
394	SAMN16774493mAP	SAMN16774493	NA2	Fusarium graminearum	Triticum aestivum	15	Luxembourg
395	SAMN16774494mAP	SAMN16774494	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
396	SAMN16774495mAP	SAMN16774495	Unknown	Fusarium graminearum	Secale cereale	15	Germany
397	SAMN16774496mAP	SAMN16774496	NA1	Fusarium graminearum	Triticum aestivum	15	Germany
398	SAMN16774497mAP	SAMN16774497	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
399	SAMN16774498mAP	SAMN16774498	Unknown	Fusarium graminearum	unknown	3	Germany
400	SAMN16774499mAP	SAMN16774499	NA2	Fusarium graminearum	unknown	15	Germany
401	SAMN16774500mAP	SAMN16774500	NA2	Fusarium graminearum	unknown	15	Germany
402	SAMN16774501mAP	SAMN16774501	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
403	SAMN16774502mAP	SAMN16774502	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
404	SAMN16774503mAP	SAMN16774503	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
405	SAMN16774504mAP	SAMN16774504	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
406	SAMN16774505mAP	SAMN16774505	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
407	SAMN16774506mAP	SAMN16774506	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
408	SAMN16774507mAP	SAMN16774507	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
409	SAMN16774508mAP	SAMN16774508	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
410	SAMN16774509mAP	SAMN16774509	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
411	SAMN16774510mAP	SAMN16774510	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
412	SAMN16774511mAP	SAMN16774511	NA2	Fusarium graminearum	Triticum aestivum	15	Germany
413	SAMN16774512mAP	SAMN16774512	NA2	Fusarium graminearum	Triticum aestivum	15	Poland
414	SAMN16774513mAP	SAMN16774513	Unknown	Fusarium graminearum	Triticum aestivum	NIV	Poland
415	SAMN16774514mAP	SAMN16774514	Unknown	Fusarium graminearum	Triticum aestivum	15	Poland
416	SAMN16774515mAP	SAMN16774515	NA2	Fusarium graminearum	Triticum aestivum	15	Poland
417	SAMN16774516mAP	SAMN16774516	Unknown	Fusarium graminearum	Triticum aestivum	3	Poland
418	SAMN16774517mAP	SAMN16774517	NA2	Fusarium graminearum	Triticum aestivum	15	Poland
419	SAMN16774518mAP	SAMN16774518	NA2	Fusarium graminearum	Triticum aestivum	15	Poland
420	SAMN16774519mAP	SAMN16774519	Outgroups	Fusarium graminearum	Triticum aestivum	15	Poland
421	SAMN16774520mAP	SAMN16774520	Unknown	Fusarium graminearum	Triticum aestivum	15	Poland
422	SAMN16774521mAP	SAMN16774521	NA2	Fusarium graminearum	Triticum aestivum	3	Poland
423	SAMN16774523mAP	SAMN16774523	Unknown	Fusarium graminearum	Triticum aestivum	3	Poland
424	SAMN16774524mAP	SAMN16774524	Unknown	Fusarium graminearum	Triticum aestivum	NIV	Poland
425	SAMN16774525mAP	SAMN16774525	Unknown	Fusarium graminearum	Vicia sativa	3	Poland
426	SAMN16774526mAP	SAMN16774526	Unknown	Fusarium graminearum	Triticum aestivum	3	Poland
427	SAMN16774527mAP	SAMN16774527	NA2	Fusarium graminearum	Triticum aestivum	15	Poland
428	SAMN16774528mAP	SAMN16774528	Unknown	Fusarium graminearum	Glycine max	3	Poland
429	SAMN16774529mAP	SAMN16774529	Unknown	Fusarium graminearum	Glycine max	3	Poland
430	SAMN16774530mAP	SAMN16774530	NA2	Fusarium graminearum	Glycine max	15	Poland
431	SAMN16774531mAP	SAMN16774531	NA2	Fusarium graminearum	Glycine max	15	Poland
432	SAMN16774532mAP	SAMN16774532	NA2	Fusarium graminearum	Glycine max	15	Poland
433	SAMN16774533mAP	SAMN16774533	NA2	Fusarium graminearum	unknown	NIV	Italy
434	SAMN16774534mAP	SAMN16774534	NA2	Fusarium graminearum	unknown	NIV	Italy
435	SAMN16774535mAP	SAMN16774535	NA2	Fusarium graminearum	unknown	3	Italy
436	SAMN16774536mAP	SAMN16774536	NA2	Fusarium graminearum	unknown	3	Italy
437	SAMN16774537mAP	SAMN16774537	NA2	Fusarium graminearum	unknown	3	Italy
438	SAMN16774538mAP	SAMN16774538	NA2	Fusarium graminearum	unknown	3	Italy
439	SAMN16774539mAP	SAMN16774539	NA2	Fusarium graminearum	Triticum aestivum	15	Russia
440	SAMN16774540mAP	SAMN16774540	NA2	Fusarium graminearum	Triticum aestivum	15	Russia
441	SAMN16774541mAP	SAMN16774541	NA2	Fusarium graminearum	Triticum aestivum	15	Russia
442	SAMN16774542mAP	SAMN16774542	Admixture	Fusarium graminearum	Triticum aestivum	15	Russia
443	SAMN16774543mAP	SAMN16774543	Admixture	Fusarium graminearum	Triticum aestivum	15	Russia
444	SAMN16774544mAP	SAMN16774544	NA2	Fusarium graminearum	unknown	3	Russia
445	SAMN16774545mAP	SAMN16774545	Unknown	Fusarium graminearum	unknown	15	Russia
446	SAMN16774546mAP	SAMN16774546	NA2	Fusarium graminearum	unknown	15	Russia
447	SAMN16774547mAP	SAMN16774547	Unknown	Fusarium graminearum	Triticum aestivum	15	Russia
448	SAMN16774548mAP	SAMN16774548	Admixture	Fusarium graminearum	Triticum aestivum	15	Russia
449	SAMN16774549mAP	SAMN16774549	NA1	Fusarium graminearum	Triticum aestivum	15	Russia
450	SAMN16774550mAP	SAMN16774550	Unknown	Fusarium graminearum	Zea mays	NIV	Iran
451	SAMN16774551mAP	SAMN16774551	NA2	Fusarium graminearum	Triticum aestivum	15	South Africa
452	SAMN16774553mAP	SAMN16774553	NA1	Fusarium graminearum	Zea mays	15	unknown
453	SAMN16774554mAP	SAMN16774554	NA1	Fusarium graminearum	unknown	15	unknown
454	WG15AG37_S51mAP	WG15AG37_S51	NA1	Fusarium graminearum	Glyceria_grandis		USA
455	WG15BrC10_S49mAP	WG15BrC10_S49	NA1	Fusarium graminearum	Bromus_ciliatus_var._ciliatus_L.		USA
456	WG15BrK07_S48mAP	WG15BrK07_S48	NA1	Fusarium graminearum	Bromus_kalmii		USA
457	WG15BrK10_S47mAP	WG15BrK10_S47	NA1	Fusarium graminearum	Bromus_kalmii		USA
458	WG15CC02_S46mAP	WG15CC02_S46	NA1	Fusarium graminearum	Calamagrostis_canadensis		USA
459	WG15EC187_S45mAP	WG15EC187_S45	NA1	Fusarium graminearum	Elymus_canadensis		USA
460	WG15EC232_S44mAP	WG15EC232_S44	NA1	Fusarium graminearum	Elymus_canadensis		USA
461	WG15EC233_S43mAP	WG15EC233_S43	NA1	Fusarium graminearum	Elymus_canadensis		USA
462	WG15EC234_S42mAP	WG15EC234_S42	NA1	Fusarium graminearum	Elymus_canadensis		USA
463	WG15EC236_S41mAP	WG15EC236_S41	NA1	Fusarium graminearum	Elymus_canadensis		USA
464	WG15EC239_S40mAP	WG15EC239_S40	NA1	Fusarium graminearum	Elymus_canadensis		USA
465	WG15EC256_S39mAP	WG15EC256_S39	NA1	Fusarium graminearum	Elymus_canadensis		USA
466	WG15EV127_S38mAP	WG15EV127_S38	NA1	Fusarium graminearum	Elymus_virginicus		USA
467	WG15EV156_S37mAP	WG15EV156_S37	NA1	Fusarium graminearum	Elymus_virginicus		USA
468	WG15EV202_S36mAP	WG15EV202_S36	NA1	Fusarium graminearum	Elymus_virginicus		USA
469	WG15EV224_S35mAP	WG15EV224_S35	NA1	Fusarium graminearum	Elymus_virginicus		USA
470	WG15EV246_S1mAP	WG15EV246_S1	NA1	Fusarium graminearum	Elymus_virginicus		USA
471	WG15EV247_S34mAP	WG15EV247_S34	NA1	Fusarium graminearum	Elymus_virginicus		USA
472	WG15Evill16_S33mAP	WG15Evill16_S33	NA1	Fusarium graminearum	Elymus_villosus		USA
473	WG15Evill18_S32mAP	WG15Evill18_S32	NA1	Fusarium graminearum	Elymus_villosus		USA
474	WG15Evill25_S31mAP	WG15Evill25_S31	NA1	Fusarium graminearum	Elymus_villosus		USA
475	WG15Evill29_S30mAP	WG15Evill29_S30	NA1	Fusarium graminearum	Elymus_villosus		USA
476	WG15Evill34_S29mAP	WG15Evill34_S29	NA1	Fusarium graminearum	Elymus_villosus		USA
477	WG15Evill44_S28mAP	WG15Evill44_S28	NA1	Fusarium graminearum	Elymus_villosus		USA
478	WG15GG06_S27mAP	WG15GG06_S27	NA3	Fusarium graminearum	Glyceria_grandis		USA
479	WG15GG11_S2mAP	WG15GG11_S2	NA3	Fusarium graminearum	Glyceria_grandis		USA
480	WG15GG17_S3mAP	WG15GG17_S3	NA3	Fusarium graminearum	Glyceria_grandis		USA
481	WG15GG23_S4mAP	WG15GG23_S4	NA3	Fusarium graminearum	Glyceria_grandis		USA
482	WG15GG39_S5mAP	WG15GG39_S5	NA1	Fusarium graminearum	Glyceria_grandis		USA
483	WG15GG42_S6mAP	WG15GG42_S6	NA3	Fusarium graminearum	Glyceria_grandis		USA
484	WG15HJ11_S7mAP	WG15HJ11_S7	NA1	Fusarium graminearum	Hordeum_jubatum		USA
485	WG15HJ15_S8mAP	WG15HJ15_S8	NA1	Fusarium graminearum	Hordeum_jubatum		USA
486	WG15HJ17_S9mAP	WG15HJ17_S9	NA3	Fusarium graminearum	Hordeum_jubatum		USA
487	WG15HJ23_S10mAP	WG15HJ23_S10	NA1	Fusarium graminearum	Hordeum_jubatum		USA
488	WG15HJ24_S11mAP	WG15HJ24_S11	NA3	Fusarium graminearum	Hordeum_jubatum		USA
489	WG15HJ33_S12mAP	WG15HJ33_S12	NA1	Fusarium graminearum	Hordeum_jubatum		USA
490	WG15HS21_S26mAP	WG15HS21_S26	NA1	Fusarium graminearum	Hesperostipa_spartea		USA
491	WG15HS32_S13mAP	WG15HS32_S13	NA1	Fusarium graminearum	Hesperostipa_spartea		USA
492	WG15LO06_S15mAP	WG15LO06_S15	NA1	Fusarium graminearum	Leersia_oryzoides		USA
493	WG15PA02_S16mAP	WG15PA02_S16	NA3	Fusarium graminearum	Phalaris_arundinacea		USA
494	WG15PA17_S17mAP	WG15PA17_S17	Unknown	Fusarium graminearum	Phalaris_arundinacea		USA
495	WG15PA21_S55mAP	WG15PA21_S55	NA1	Fusarium graminearum	Glyceria_grandis		USA
496	WG15PV109_S18mAP	WG15PV109_S18	NA1	Fusarium graminearum	Panicum_virgatum		USA
497	WG15PV132_S19mAP	WG15PV132_S19	NA1	Fusarium graminearum	Panicum_virgatum		USA
498	WG15PV59_S20mAP	WG15PV59_S20	NA1	Fusarium graminearum	Panicum_virgatum		USA
499	WG15PV63_S21mAP	WG15PV63_S21	NA1	Fusarium graminearum	Panicum_virgatum		USA
500	WG15PV65_S54mAP	WG15PV65_S54	NA1	Fusarium graminearum	Glyceria_grandis		USA
501	WG15PV66_S53mAP	WG15PV66_S53	NA2	Fusarium graminearum	Glyceria_grandis		USA
502	WG15PV72_S22mAP	WG15PV72_S22	Unknown	Fusarium graminearum	Panicum_virgatum		USA
503	WG15PV73_S23mAP	WG15PV73_S23	Unknown	Fusarium graminearum	Panicum_virgatum		USA
504	WG15PV75_S24mAP	WG15PV75_S24	NA2	Fusarium graminearum	Panicum_virgatum		USA
505	WG15PV82_S25mAP	WG15PV82_S25	NA1	Fusarium graminearum	Panicum_virgatum		USA
506	WG15SS01_S52mAP	WG15SS01_S52	NA1	Fusarium graminearum	Glyceria_grandis		USA
507	f688mAP	f688	NA2	Fusarium graminearum	Hordeum vulgare	NIV	Uruguay
508	fra132mAP	fra132	NA1	Fusarium graminearum	Triticum aestivum	15	France
509	fra161mAP	fra161	Admixture	Fusarium graminearum	Zea mays	15	France
510	fra181mAP	fra181	NA1	Fusarium graminearum			USA
511	fra201mAP	fra201	NA2	Fusarium graminearum
512	fra267mAP	fra267	NA2	Fusarium graminearum	Zea mays	15	France
513	fra336mAP	fra336	NA1	Fusarium graminearum	Zea mays	15	France
